social_preference,alone_time,group_comfort,communication_style,decision_style,personality_type
Prefers solitude,Moderate,Neutral,Thoughtful,Reflective,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Reflective,Introvert
Balanced,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Balanced,High,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Reserved,Analytical,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Balanced,High,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,High,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,High,Uncomfortable,Reserved,Reflective,Introvert
Balanced,High,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Consensus-driven,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Analytical,Introvert
Balanced,Moderate,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,High,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Balanced,High,Neutral,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
